Comment,Designator,Footprint,LCSC
RST,SW1,SW_T1A2QR,C100056
1k,"R10,R11,R9",R_0402_1005Metric,C11702
BQ24075,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464
12p,"C12,C13",C_0402_1005Metric,C1547
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
4u7,"C1,C10,C11,C2,C4,C7",C_0402_1005Metric,C23733
10k,"R3,R7,R8",R_0402_1005Metric,C25744
47k,R4,R_0402_1005Metric,C25792
1k5,R5,R_0402_1005Metric,C25867
2k2,R6,R_0402_1005Metric,C25879
5k1,"R1,R2",R_0402_1005Metric,C25905
MAX17048,U1,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,C2682616
IND,LED1,LED_1206R,C2802677
100n,"C14,C6",C_0402_1005Metric,C307331
nRF52840_E73-2G4M08S1C,U4,nRF52840_E73-2G4M08S1C,C356849
74LVC1G11,U5,SOT-363_SC-70-6,C460525
78171-0002,J2,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,C505023
MX,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX5,MX6,MX7,MX8,MX9",SW_MX_HS_1u,C5184526
1u,"C3,C5,C8,C9",C_0402_1005Metric,C52923
32.768 KHz,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,C55208
1N4148WT,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D6,D7,D8,D9",D_SOD-523,C727112
SRV05-4,U3,SOT-23-6-routable,C7420376
500mA,F1,Fuse_0603_1608Metric,C883095
BLM15PX121SN1D,L1,L_0402_1005Metric,C88970
10 uH,L2,L_0603_1608Metric,C92982
